input_data: 
1 13 20 18
2 25 35 2
3 15 10 6
4 20 2 11
5 4 21 19
6 11 39 5
7 5 41 3
8 2 24 6
Tick: 99 pid: 6, time_on_cpu: 12, time_left: 27 
Tick: 100 pid: 6, time_on_cpu: 13, time_left: 26 
Tick: 101 pid: 6, time_on_cpu: 14, time_left: 25 
Tick: 102 pid: 6, time_on_cpu: 15, time_left: 24 
Tick: 103 pid: 6, time_on_cpu: 16, time_left: 23 
Tick: 104 pid: 6, time_on_cpu: 17, time_left: 22 
Tick: 105 pid: 6, time_on_cpu: 18, time_left: 21 
Tick: 106 pid: 6, time_on_cpu: 19, time_left: 20 
Tick: 107 pid: 6, time_on_cpu: 20, time_left: 19 
Tick: 108 pid: 6, time_on_cpu: 21, time_left: 18 
Tick: 109 pid: 6, time_on_cpu: 22, time_left: 17 
Tick: 110 pid: 6, time_on_cpu: 23, time_left: 16 
Tick: 111 pid: 6, time_on_cpu: 24, time_left: 15 
Tick: 112 pid: 6, time_on_cpu: 25, time_left: 14 
Tick: 113 pid: 6, time_on_cpu: 26, time_left: 13 
Tick: 114 pid: 6, time_on_cpu: 27, time_left: 12 
Tick: 115 pid: 6, time_on_cpu: 28, time_left: 11 
Tick: 116 pid: 6, time_on_cpu: 29, time_left: 10 
Tick: 117 pid: 6, time_on_cpu: 30, time_left: 9 
Tick: 118 pid: 6, time_on_cpu: 31, time_left: 8 
Tick: 119 pid: 6, time_on_cpu: 32, time_left: 7 
Tick: 120 pid: 6, time_on_cpu: 33, time_left: 6 
Tick: 121 pid: 6, time_on_cpu: 34, time_left: 5 
Tick: 122 pid: 6, time_on_cpu: 35, time_left: 4 
Tick: 123 pid: 6, time_on_cpu: 36, time_left: 3 
Tick: 124 pid: 6, time_on_cpu: 37, time_left: 2 
Tick: 125 pid: 6, time_on_cpu: 38, time_left: 1 
Tick: 126 pid: 6, time_on_cpu: 39, time_left: 0 
Tick: 127 pid: 1, time_on_cpu: 1, time_left: 19 
Tick: 128 pid: 1, time_on_cpu: 2, time_left: 18 
Tick: 129 pid: 1, time_on_cpu: 3, time_left: 17 
Tick: 130 pid: 1, time_on_cpu: 4, time_left: 16 
Tick: 131 pid: 1, time_on_cpu: 5, time_left: 15 
Tick: 132 pid: 1, time_on_cpu: 6, time_left: 14 
Tick: 133 pid: 1, time_on_cpu: 7, time_left: 13 
Tick: 134 pid: 1, time_on_cpu: 8, time_left: 12 
Tick: 135 pid: 1, time_on_cpu: 9, time_left: 11 
Tick: 136 pid: 1, time_on_cpu: 10, time_left: 10 
Tick: 137 pid: 1, time_on_cpu: 11, time_left: 9 
Tick: 138 pid: 1, time_on_cpu: 12, time_left: 8 
Tick: 139 pid: 1, time_on_cpu: 13, time_left: 7 
Tick: 140 pid: 1, time_on_cpu: 14, time_left: 6 
Tick: 141 pid: 1, time_on_cpu: 15, time_left: 5 
Tick: 142 pid: 1, time_on_cpu: 16, time_left: 4 
Tick: 143 pid: 1, time_on_cpu: 17, time_left: 3 
Tick: 144 pid: 1, time_on_cpu: 18, time_left: 2 
Tick: 145 pid: 1, time_on_cpu: 19, time_left: 1 
Tick: 146 pid: 1, time_on_cpu: 20, time_left: 0 
Tick: 147 pid: 3, time_on_cpu: 1, time_left: 9 
Tick: 148 pid: 3, time_on_cpu: 2, time_left: 8 
Tick: 149 pid: 3, time_on_cpu: 3, time_left: 7 
Tick: 150 pid: 3, time_on_cpu: 4, time_left: 6 
Tick: 151 pid: 3, time_on_cpu: 5, time_left: 5 
Tick: 152 pid: 3, time_on_cpu: 6, time_left: 4 
Tick: 153 pid: 3, time_on_cpu: 7, time_left: 3 
Tick: 154 pid: 3, time_on_cpu: 8, time_left: 2 
Tick: 155 pid: 3, time_on_cpu: 9, time_left: 1 
Tick: 156 pid: 3, time_on_cpu: 10, time_left: 0 
Tick: 157 pid: 4, time_on_cpu: 1, time_left: 1 
Tick: 158 pid: 4, time_on_cpu: 2, time_left: 0 
Tick: 159 pid: 2, time_on_cpu: 1, time_left: 34 
Tick: 160 pid: 2, time_on_cpu: 2, time_left: 33 
Tick: 161 pid: 2, time_on_cpu: 3, time_left: 32 
Tick: 162 pid: 2, time_on_cpu: 4, time_left: 31 
Tick: 163 pid: 2, time_on_cpu: 5, time_left: 30 
